907754194	20190222	201902	2019	2019.1425	BEL	BRUSSELS	BEL								EUR	EUROPEAN	EUR								0	071	071	07	2	7.4	5	1	5	-0.74257425742574	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20200222173000	https://www.voanews.com/europe/eu-searches-way-forward-after-budget-deadlock
907754195	20190222	201902	2019	2019.1425	IGOUNO	UNITED NATIONS		UNO				IGO			AFG	AFGHANISTAN	AFG								1	190	190	19	4	-10.0	5	1	5	-6.66666666666667	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20200222173000	https://www.efe.com/efe/english/world/us-taliban-partial-truce-starts-in-afghanistan/50000262-4179725
907754196	20190222	201902	2019	2019.1425	JUD	JUDGE						JUD													0	020	020	02	1	3.0	10	1	10	-1.9559902200489	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20200222173000	https://qctimes.com/business/former-iowa-governor-us-ag-secretary-to-monitor-drugmaker/article_b37911cb-9d8d-5fa7-98d0-bcf02d790901.html
907754197	20190222	201902	2019	2019.1425	PAK	PAKISTANI	PAK								USA	THE US	USA								0	045	045	04	1	5.0	2	1	2	-2.27920227920228	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20200222173000	https://www.dnaindia.com/world/report-islamabad-has-to-act-on-terror-for-succesful-india-pak-dialogue-us-2814628
907754198	20190222	201902	2019	2019.1425	PAK	PAKISTANI	PAK								USA	THE US	USA								0	045	045	04	1	5.0	2	1	2	-2.27920227920228	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20200222173000	https://www.dnaindia.com/world/report-islamabad-has-to-act-on-terror-for-succesful-india-pak-dialogue-us-2814628
907754199	20190222	201902	2019	2019.1425	PAKGOV	PAKISTANI	PAK					GOV			USA	THE US	USA								0	045	045	04	1	5.0	4	1	4	-2.27920227920228	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20200222173000	https://www.dnaindia.com/world/report-islamabad-has-to-act-on-terror-for-succesful-india-pak-dialogue-us-2814628
907754200	20190222	201902	2019	2019.1425	PAKGOV	PAKISTAN	PAK					GOV			USA	THE US	USA								0	045	045	04	1	5.0	2	1	2	-2.27920227920228	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20200222173000	https://www.dnaindia.com/world/report-islamabad-has-to-act-on-terror-for-succesful-india-pak-dialogue-us-2814628
907754201	20190222	201902	2019	2019.1425	RWA	RWANDA	RWA								UGAGOV	YOWERI MUSEVENI	UGA					GOV			0	020	020	02	1	3.0	2	1	2	-1.4423076923077	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20200222173000	https://allafrica.com/stories/202002220238.html
907754202	20190222	201902	2019	2019.1425	RWA	RWANDA	RWA								USA	CHARLOTTE	USA								0	020	020	02	1	3.0	2	1	2	-1.4423076923077	4	Kampala, Kampala, Uganda	UG	UG37	18585	0.315556	32.5656	-1728891	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20200222173000	https://allafrica.com/stories/202002220238.html
907754203	20190222	201902	2019	2019.1425	RWA	RWANDA	RWA								USA	CHARLOTTE	USA								0	020	020	02	1	3.0	6	1	6	-1.4423076923077	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	4	Kigali, (RW09), Rwanda	RW	RW09	21996	-1.95361	30.0606	-2181358	20200222173000	https://allafrica.com/stories/202002220238.html
907754204	20190222	201902	2019	2019.1425	USA	UNITED STATES	USA																		1	015	015	01	1	0.0	2	1	2	-10.3448275862069	3	Hyattsville, Maryland, United States	US	USMD	MD033	38.9559	-76.9455	597595	0								3	Hyattsville, Maryland, United States	US	USMD	MD033	38.9559	-76.9455	597595	20200222173000	https://wtop.com/montgomery-county/2020/02/2-plead-guilty-to-2019-smash-and-grab-in-montgomery-co/
907754205	20200123	202001	2020	2020.0630											REL	SAINT									1	036	036	03	1	4.0	2	1	2	-1.61904761904762	0								3	Wichita, Kansas, United States	US	USKS	KS173	37.6922	-97.3375	473862	3	Wichita, Kansas, United States	US	USKS	KS173	37.6922	-97.3375	473862	20200222173000	https://www.catholicworldreport.com/2020/02/22/fr-emil-kapauns-path-to-sainthood-to-face-vatican-milestone-in-march/
907754206	20200123	202001	2020	2020.0630											REL	SAINT									1	036	036	03	1	4.0	3	1	3	-1.61904761904762	0								2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20200222173000	https://www.catholicworldreport.com/2020/02/22/fr-emil-kapauns-path-to-sainthood-to-face-vatican-milestone-in-march/
907754207	20200123	202001	2020	2020.0630	GOV	CHIEF MINISTER						GOV			NPL	NEPAL	NPL								1	040	040	04	1	1.0	5	1	5	-0.64935064935065	4	Maharajganj, Nepal (general), Nepal	NP	NP00	22364	27.5604	82.9558	-1022285	4	Maharajganj, Nepal (general), Nepal	NP	NP00	22364	27.5604	82.9558	-1022285	4	Maharajganj, Nepal (general), Nepal	NP	NP00	22364	27.5604	82.9558	-1022285	20200222173000	https://www.business-standard.com/article/current-affairs/coronavirus-up-reserves-820-isolation-beds-for-travellers-from-china-120022200966_1.html
